start,dur,text
10.96,5.6,a few of us here can remember when jfk
13.36,5.999,and mlk was assassinated and you'll
16.56,4.719,never forget how you felt for days and
19.359,4,weeks afterwards
21.279,3.84,some of us can remember where we were
23.359,2.561,when the space shuttle challenger blew
25.119,4.24,up
25.92,5.519,and many of us can remember how we felt
29.359,4.161,when princess diana was killed in a
31.439,4.561,tragic car crash
33.52,4.879,collectively these losses from school
36,4.16,shootings to racial injustice they
38.399,5.921,affect us all
40.16,7.04,in a collective communal way none of us
44.32,4.719,can escape the feelings of grief
47.2,3.999,and loss
49.039,4.801,some of you here can remember what it's
51.199,4.801,like when you have a child that's gone
53.84,4.96,from the home from the first time
56,4.8,i remember it like it was yesterday
58.8,5.12,and it was over 10 years ago
60.8,5.6,that my oldest son left for college
63.92,3.44,there had been a lot of excitement
66.4,3.2,about
67.36,5.04,acceptance letters high school
69.6,4.8,graduations and then we were helping him
72.4,3.6,get organized at the end of the summer
74.4,3.68,for this new chapter
76,4.799,in his life
78.08,7.039,we still had two kids at home
80.799,4.32,and his room still looked the same
85.439,6.481,i thought i was prepared for it
88.4,5.6,but i felt such a deep sense of loss
91.92,3.6,loss of his presence
94,3.28,and his spirit
95.52,4.239,in the house
97.28,4.96,i knew that i could call him at any time
99.759,5.441,and i also knew that he would be home at
102.24,4.48,different times throughout the year
105.2,4.32,but honestly
106.72,2.8,i was a mess
109.6,4.559,it wouldn't be the last time that i felt
111.759,4.081,this type of grief and loss on some
114.159,3.841,level
115.84,4.16,like many people i've struggled with
118,5.759,depression
120,4.84,with burnout and with existential crisis
123.759,3.921,november
124.84,5.479,2017 it was the culmination of a
127.68,4.639,two-year downward spiral
130.319,3.681,of a failed business
132.319,5.201,broken business relationships and
134,6.319,friendships financial failure
137.52,4.799,and mental exhaustion
140.319,5.361,what i didn't know not then but i know
142.319,4.56,now is these losses have a name
145.68,3.36,it's called
146.879,4.481,ambiguous loss
149.04,5.04,it's a phrase that was coined
151.36,4.239,by psychologist pauline boss in the
154.08,3.439,1970s
155.599,5.36,and she said
157.519,5.041,that ambiguous loss is a feeling
160.959,3.28,of anxiety
162.56,4.56,and stress
164.239,5.601,when you have a physical absence with a
167.12,4.72,psychological presence like when my son
169.84,3.92,went away to college
171.84,4.08,or maybe you have a
173.76,4.88,psychological absence with a physical
175.92,4.319,presence like living with someone who
178.64,4,has an addiction
180.239,5.601,or alzheimer's
182.64,6.959,we all felt this after 9 11 or maybe
185.84,5.84,observing the tsunamis in thailand
189.599,3.92,we looked around we tried to make sense
191.68,4.639,of it
193.519,6.401,and it was complicated
196.319,5.441,and then came the pandemic
199.92,4.319,we've all dealt with the last two years
201.76,4.72,in various ways individually but there's
204.239,4.961,a lot of collective things that we also
206.48,5.2,have in common
209.2,3.599,it used to be when i was driving home
211.68,3.839,from work
212.799,6.641,pre-pandemic i would pull my car into
215.519,6.08,the garage close it behind me and to me
219.44,3.359,that represented
221.599,2.801,peace
222.799,4.401,calm
224.4,5.04,solitude it was a time and a place
227.2,4.08,where i would spend time with my family
229.44,4.4,and my loved ones it was almost like
231.28,5.28,there was this
233.84,4.08,bubble of privacy that was rarely ever
236.56,5.28,breached
237.92,3.92,unless i allowed it
242.08,3.92,but those lines became blurry pretty
244.159,4.64,quickly
246,4.879,and it was breached in the form of
248.799,4.561,portals that opened up
250.879,4.241,through zoom calls into our lives into
253.36,5.92,our kitchens and maybe even into our
255.12,6.639,bedrooms if we had to work from there
259.28,6.08,and maybe your living room
261.759,6.401,became a classroom for weeks and months
265.36,6.24,on end
268.16,5.92,we tried to process this
271.6,3.92,and all we could say was
274.08,3.679,we felt
275.52,4.32,the blas
277.759,3.761,now don't be cons
279.84,4.24,concerned or
281.52,4.239,maybe a better word is confused
284.08,3.679,when you hear
285.759,4.641,ambiguous loss
287.759,5.201,there are very real losses
290.4,5.84,as of right now over 6 million people
292.96,5.679,have died through this pandemic
296.24,5.519,but there's something else that seems to
298.639,5.921,be brewing that we can't quite
301.759,2.801,pinpoint
304.96,8,that's ambiguous loss maybe you felt
308.08,6.88,ambiguous loss and less severe ways
312.96,4.4,you call an 800 number
314.96,4.239,you press one for english two for
317.36,3.76,support
319.199,4.72,only to wait on hold for another five to
321.12,4,seven minutes to have someone tell you
323.919,3.12,that you've actually called the wrong
325.12,3.519,number
327.039,4.561,if you're like me
328.639,4.481,i angrily hang up but then
331.6,3.84,i wonder
333.12,4.72,what is this other feeling this sense of
335.44,6.56,loss and maybe a little bit of grief
337.84,4.16,over a routine 800 number call
342.72,4.319,you felt voiceless you felt unsupported
345.36,4,you you couldn't connect with who you
347.039,4.321,wanted to connect with
349.36,4,that's ambiguous loss
351.36,6.24,now i'm a student of organizational
353.36,6.64,psychology and consumer behavior
357.6,4.8,and marketing and so i'm always
360,4.24,interested in how people react and
362.4,4.799,process information
364.24,6.959,and situations
367.199,4,the pandemic has been extraordinary
372.319,6,in the medical journal lancet in
374.4,6.56,february of 2021 it said this
378.319,5.6,in regard to the reviews of several
380.96,5.44,studies of pandemic mental health it
383.919,4,said that researchers had found that
386.4,5.6,many people
387.919,5.12,all around the world suffered from ptsd
392,2.479,anger
393.039,3.361,confusion
394.479,4,and it went on to say that the
396.4,4.079,researchers found that there's a good
398.479,5.361,possibility that many of these cases
400.479,4.881,would be long lasting
403.84,5.12,now
405.36,6.08,just as we we can process these losses
408.96,3.6,together collectively we can also
411.44,3.599,process
412.56,3.84,collective triumphs
415.039,4.401,think about it
416.4,5.12,the berlin wall coming down
