start,dur,text
1.42,7.12,[Music]
5.23,7.489,[Applause]
8.54,6.04,good morning good morning wonderful to
12.719,4.831,be back here at Shoreline with to all of
14.58,6.3,you it's been a really busy few months
17.55,5.19,for us at Google we just wrapped up
20.88,5.43,cloud next to the San Francisco with
22.74,7.08,"over 30,000 attendees as well as YouTube"
26.31,5.129,brand cast last week in New York of
29.82,3.93,course today's about you all our
31.439,4.681,developer community and thank you all
33.75,4.26,for joining us in person and to the
36.12,4.68,millions around the world watching on
38.01,4.639,livestream I would love to say welcome
40.8,3.96,in all the languages our viewers speak
42.649,3.73,but we are going to keep the keynote
44.76,3.569,under two hours especially since
46.379,6.331,Barcelona kicks off against Liverpool
48.329,8.491,that known for you should be an amazing
52.71,5.31,game every year at i/o we learn and try
56.82,3.21,to make things a little bit better
58.02,4.769,that's why we have lots of Sun screen
60.03,4.949,hope the Sun comes out plenty of water
62.789,5.041,and shade but this year we want to make
64.979,6.361,it easier for you to get around so we
67.83,6.149,are using a are to help to get started
71.34,5.16,open your eye o app and choose explore
73.979,4.771,i/o and then you can just point your
76.5,4.13,phone where you want to go we really
78.75,3.96,hope this helps you get around and
80.63,5.65,answers the number one question people
82.71,4.86,have where the sessions are actually
86.28,5.28,it's not that they want to know where
87.57,6.72,the food is and we have plenty of it
91.56,5.36,around we also have a couple of Easter
94.29,5.46,eggs and we hope you enjoy them as well
96.92,4.72,this is a pretty compelling use case and
99.75,4.229,we actually want to generalize this
101.64,3.979,approach so that he can explore and
103.979,5.07,navigate the whole world that way
105.619,6.04,there's a lot of hard work ahead and
109.049,4.971,it's a hard computer science problem but
111.659,5.07,it's the type of challenge we love
114.02,5.25,tackling these kinds of problems is what
116.729,5.82,has kept us going for the past 21 years
119.27,5.08,and it all begins with our mission to
122.549,4.021,organize the world's information and
124.35,5.73,make it universally accessible and
126.57,4.86,useful and today our mission feels as
130.08,4.31,relevant
131.43,6.21,Simar but the way we approach it is
134.39,6.909,constantly evolving we are moving from a
137.64,7.01,company that helps you finances to a
141.299,6.66,company that helps you get things done
144.65,6.22,this morning we'll introduce you to many
147.959,5.28,products built on a foundation of user
150.87,6.239,trust and privacy and I'll talk more
153.239,6.541,about that later we want our products to
157.109,6.151,work harder for you in the context of
159.78,6.81,your job your home and your life and
163.26,6.03,they all share a single goal to be
166.59,5.459,helpful so we can be there for you in
169.29,3.379,moments big and small over the course of
172.049,4.951,your day
172.669,7.3,for example helping you write your
177,6.03,emails faster with automatic solutions
179.969,6,from smart reply and giving you the
183.03,5.239,chance to take them back if you didn't
185.969,4.95,get it right the first time
188.269,5.86,helping you find the fastest route home
190.919,6.391,at the end of a long day and when you
194.129,5.461,get there removing distractions so that
197.31,5.25,you can spend time with the people most
199.59,5.639,important to you and when you capture
202.56,7.22,those perfect moments backing them up
205.229,7.65,automatically so you never lose them
209.78,6.28,simply put our goal is to build a more
212.879,5.881,helpful Google for everyone and when we
216.06,6.199,say helpful we mean giving you the tools
218.76,7.8,to increase your knowledge success
222.259,6.13,health and happiness we feel so
226.56,4.709,privileged to be developing products for
228.389,5.25,billions of users and with that scale
231.269,4.71,comes a deep sense of responsibility to
233.639,5.701,create things that improve people's
235.979,5.641,lives by focusing on these fundamental
239.34,6.84,attributes we can empower individuals
241.62,6.269,and benefit society as a whole of course
246.18,4.979,building a more helpful Google for us
247.889,6.09,always starts with search and the
251.159,5.311,billions of questions users trust Google
253.979,6.781,with every day but there is so much more
256.47,5.85,we can do to help our users last year we
260.76,3.84,launched a new feature in Google News
262.32,4.02,called full coverage
264.6,4.38,and we have gotten great feedback on it
266.34,5.49,from our users will be bringing full
268.98,5.55,coverage directly to search to better
271.83,6.48,organize results for news related topics
274.53,6.51,let's take an example if you search for
278.31,5.52,black hole will surface the relevant top
281.04,4.8,news it was in the news recently we use
283.83,4.86,machine learning to identify different
285.84,5.37,types of stories and give you a complete
288.69,5.76,picture of how a story is being reported
291.21,5.91,from a wide variety of sources you can
294.45,5.28,click into full coverage it surfaces a
297.12,4.8,breadth of content but allows you to
299.73,4.62,drill down into what interests you you
301.92,5.46,can check out different aspects of the
304.35,6.09,story like how the black hole got its
307.38,5.37,name you can even now see a timeline of
310.44,6.11,events and we'll be bringing this to
312.75,5.82,search later this year podcasts are
316.55,5.14,another important source of information
318.57,7.23,and we'll be bringing them directly to
321.69,6.87,search as well by indexing podcasts we
325.8,5.49,can surface relevant episodes based on
328.56,4.77,their content not just a title and you
331.29,5.28,can tap to listen right in search
333.33,6.15,results or you can save an episode for
336.57,6.03,listening later on your commute or your
339.48,4.95,Google home these are all examples of
342.6,4.62,how we are making search even more
344.43,5.04,helpful for our users surfacing the
347.22,5.37,right information in the right context
349.47,6.36,and sometimes what's most helpful and
352.59,7.62,understanding the world is being able to
355.83,7.29,see it visually to show you how we are
360.21,6.41,bringing you visual information directly
363.12,4.06,in search here sup or not
366.62,9.899,[Music]
367.18,9.339,[Applause]
376.66,4.54,whether you're learning about the solar
378.95,5.67,system or trying to choose a color
381.2,6.33,scheme for your home seeing is often
384.62,5.7,understanding with computer vision and
387.53,3.39,augmented reality the camera in our
390.32,3.06,hands
390.92,4.5,is turning into a powerful visual tool
393.38,6.03,to help you understand the world around
395.42,7.5,you so today we are excited to bring the
399.41,5.31,camera to Google search adding a new
402.92,4.35,dimension to your search results
404.72,5.67,actually three dimensions to be precise
407.27,6.51,so let's take a look say you're a
410.39,5.07,student studying human anatomy now when
413.78,5.28,you search for something like muscle
415.46,6.3,flexion you can view a 3d model built by
419.06,7.62,visible body right from the search
421.76,7.89,results not only that pretty go not only
426.68,11.37,that you can also place it in your own
429.65,11.73,space look it's one thing to read about
438.05,6.03,flexion or extensions but seeing it in
441.38,5.48,action right in front of you while
444.08,5.49,you're studying the concept very handy
446.86,4.9,okay let's take another example say
449.57,5.46,instead of studying your shopping for a
451.76,5.88,new pair of shoes that happens with New
455.03,5.4,Balance you can look at shoes up close
457.64,5.58,from different angles again directly
460.43,5.13,from search that way you get a much
463.22,5.01,better sense for things like what does
465.56,6.74,the grip look like on the sole or how
468.23,4.07,they match with the rest of your clothes
475.86,6.429,okay this last example is a really fun
479.38,4.439,one so you may have all seen a great
482.289,4.921,white shark in the movies
483.819,7.861,jaws anyone but what does it actually
487.21,6.51,look like up close let's find out shall
491.68,4.65,we okay
493.72,5.16,I have Archana here with me to help with
496.33,5.94,the demo so let's go ahead search for
498.88,5.099,great white shark on Google as you
502.27,5.1,scroll through you get information on
503.979,6.69,the knowledge panel facts but also see
507.37,6.81,the shark in 3d directly from the
510.669,7.321,knowledge panel why don't we go one step
514.18,12.93,further why don't we invite the shark to
517.99,12.09,the stage you know it's one thing to
527.11,5.57,read a fact like a great white can be
530.08,6.12,anywhere between 17 feet to 21 feet long
532.68,5.83,but to see it in front of you at scale
536.2,3,filling up the shoreline stage like a
538.51,3.74,rock star
539.2,5.61,that is truly understanding its scale
542.25,6.76,okay let's take a closer look it's an AR
544.81,6.839,shark it won't bite oh look at those
549.01,4.829,layers of teeth you know I don't know
551.649,4.38,about you all but I'd much rather see
553.839,7.431,these teeth up close and a R than in
556.029,5.241,real life thank you Archana
563.13,5.71,really excited about bringing the camera
566.08,5.55,and a our capabilities to Google search
568.84,4.92,now sometimes though the things that
571.63,5.01,you're interested in they're difficult
573.76,6.24,to describe in a search box so that's
576.64,6.3,why we created Google lense to help you
580,6.69,search and do more with what you see by
582.94,7.14,simply pointing your camera we've built
586.69,5.64,lens as a capability across products so
590.08,4.95,you can access it directly from the
592.33,5.4,Google assistant but we've also built it
595.03,6.99,into Google photos and the camera app on
597.73,7.71,many Android devices people have already
602.02,6.3,used lens more than a billion times so
605.44,5.76,far and abused it to ask questions about
608.32,5.58,what they see like what kind of flower
611.2,7.08,that is or where to get a lamp like that
613.9,6.33,or just who the artist is one way we've
618.28,4.26,been thinking about it is with lens
620.23,5.16,we're indexing the physical world
622.54,6,billions of places and products and so
625.39,6.54,on much like search indexes the billions
628.54,5.58,of pages on the web okay
631.93,5.24,today let me show you some new ways that
634.12,5.73,we're making lens more helpful to you
637.17,5.29,say you're at a restaurant trying to
639.85,4.95,figure out what to order instead of
642.46,4.44,going from the menu to different apps on
644.8,7.22,the phone and back to the menu and so on
646.9,7.8,you can simply point your camera lens
652.02,5.68,automatically highlights the popular
654.7,5.18,dishes at this restaurant right on the
657.7,2.18,menu
663.019,5.981,and of course if you want to know more
666.12,5.55,you can tap on any dish on the menu and
669,7.68,you can see what it looks like again at
671.67,6.96,the restaurant and of course check out
676.68,6.33,what other people are saying about it on
678.63,7.55,Google Maps by the way when you're done
683.01,6.24,eating lens can help pay for your meal
686.18,7.06,not so fast it's not picking up your tab
689.25,8.88,but it can calculate the tip and even
693.24,9.5,split the total again just by pointing
698.13,4.61,your camera at the receipt and voila
707.77,6.1,so you saw how we connected the menu
710.69,4.589,with information from Google Maps but
713.87,3.9,we're starting to think of other ways
715.279,4.891,that we can connect helpful digital
717.77,4.53,information with the things in the
720.17,3.48,physical world so I'm going to give you
722.3,3.75,just one example
723.65,4.61,so you're flipping through a Bon Appetit
726.05,5.4,magazine and you see a recipe you like
728.26,7.89,soon you can point your camera at the
731.45,8.13,recipe and see the page come alive
736.15,5.71,showing you how to make the dish we're
739.58,4.8,starting to work with more partners like
741.86,4.89,museums magazine publishers and
744.38,8.01,retailers to bring unique visual
746.75,8.279,experiences like this there's one final
752.39,5.82,area where we think that the camera can
755.029,5.281,be particularly helpful to people around
758.21,4.95,the world there are more than 800
760.31,4.86,million adults for struggling to read
763.16,5.49,the words that they come across in their
765.17,6.33,daily lives bus schedules Bank forms etc
768.65,6.27,and many of them are coming online for
771.5,5.97,the first time with a smartphone so to
774.92,6.51,help with that we've integrated a new
777.47,7.489,camera capability into Google go this is
781.43,7.82,our search app for entry-level devices
784.959,7.031,take this sign in English next to an ATM
789.25,5.43,now for someone who does not understand
791.99,5.49,the language and cannot read the words
794.68,5.77,this is important information that
797.48,4.89,they're not getting access to and we
800.45,5.579,think that the camera can help here so
802.37,7.589,let me show you how so directly from the
806.029,6.75,Google search bar you can use lens open
809.959,7.021,it point it at the sign to hear the text
812.779,6.541,read out aloud to you information for
816.98,4.38,card holders all customers using old
